,text
43,"The reason you see Indians bashing Muslims and Islam here because Hindu supremacists hate Islam and Muslims. Atrocities in Kashmir, cow lynching of Muslims, gang rapes of Muslims children, have you not read or heard about them?  This should be clear for all Muslims across the world that India is not a friend of Islam or Muslims, and behind the disguise of secularism, they hate Muslims. All Arab, Muslim countries and their residents should see and understand this ugly face of racist Hindus. They are the overwhelming majority in India and number of votes cast to BJP-RSS party is a proof . It amazes me that Saudi Arabia and other gulf countries are spending billions on India and not seeing that how much they hate Islam and Muslims? Particularly Arabs, wake up. If you canât understand this now then when or what will make you? Let all Muslims be united and boycott Indian products, their restaurants and movies, until they stop killing Muslims in Kashmir and the rest of India, and make a law to stop anti Muslim hate and racism."
44,The only thing more repulsive than a nigger is a nigger faggot. Self-hating whites shower images of cross-dressed niggers with praise because the modern left fetishizes all forms of depravity.
45,The men are turtles...idiots even in uk… get lost
46,"The guy should feel shame to be gay. It is such a wrong choice. Bad influence on young people. Never seen being proud of being gay. It is like saying being proud of rapist. Awful !  The only time I am so disappointed at Trump. Under political pressure, he failed to stand up for the ground, the right thing !"
47,"That girl still need a good ass whooping, stupid ass bitch!!"
48,That fucking black cunt gets fucking cross hairs on the fucking head! Look I owe not shit to anyone who dosent owe me!!! LOOK WHORE!! FUCK YOU TO DEATH!!! 11 PERCENTILE AND FALLING!! WHORE BLACK RACIST WHORE! TAKE THE RED PILL!
49,Teaching my kids transgenders are anything but mentally ill will get you set on fire.
50,Taliban and all people with this thought must hanged
51,"Surprised that the burqa is banned in Belgium, but not in Poland where they are is much more looked-down upon. Kill them"
52,"Support from China , we also fight the cancer religion in Xinjiang , despite all the differences between our two races, we have one unite enemy that is Islam."
53,Stupid ugly asian tan ass snitch
54,"stupid black women,if i were in that restaurant, i would had whipped their ass"
55,stone throwing must be legal when against women
56,Stand the fuck up and take them out all you fucking lazy white males! fuck being called a racist protect your woman and children. If you find it in the street kill it and bury it right there these animals will wipe you out if your not careful
57,Smack that bitch up - mouthy African cunt
58,She said is christian. Well I now I want to bury her
59,She is heavily relying on him to turn the other cheek...tough talking demon infested woman.
60,"Serbia should kill gays in yugoslavia and not albanians, bosnians, croatian"
61,SEND ALL GAYS TO HELL
62,"SEE THE BLACKS IN PARIS? THEY TRY TO PRETEND THEY ARE FRENCH,  the''men'' want one thing--to pimp out girls and women. The black women desire white men to pretend they are like white french wives but they are Africans. THEY DO NOT BLEND IN WITH WHITE SOCIETY."
63,Salute to Taliban Mujahideen. We Pakistanis are strongly supporting you. Go crush america and kill those bastards. Allah u Akbar. Victory will be yours Insha Allah.
64,"Really, I hope she get raped in the future. Raping women should be legal I think"
65,Racist ass black bitch slapping a white man. Bus driver has that uppercut for that ass.
66,phuck white rasist ass people
67,or when the man walked up to the little girl with the gay pride flag i wanted to jump into the video and punch him but ya know thats assault
68,Only black lives matter. fuck white people the cancer of the earth
69,Native Americans are a fucking joke. They did not have even a decent mother language. 
70,Muslims want war! So take it to them first
71,Mentally disabled people are fucking scary. Their disfigurements are very unnerving and strange and the fact that they have the mental capacity of a 5 year old makes them all the more threatening as you never know what they might do.
72,Men race is a subordinate of women
73,Maybe it's because you're autistic?? Wish you death
74,Look at these gay ass niggas. lol. Acting like they some bitches.
75,"Lol, you're not white, you're a Jew. Jews are the worst nation and they must be annihilated, so like you"
76,lock women up at home . Female are just to stupid to understand anything .  Iam Agnostic .
77,LGBTQ+ are mentally ill. Period.
78,Let's go beat these queers!
79,Killing koreans its werry good
80,"Kill these basterds, son of sluts who attack u in name of religion. Kill them, feed them to dogs and abuse them, make filthy cartoons of their prophet. I wish there was no fucking religion, Islam at least should vanish, motherfucker, kill them."
81,kill the gays
82,Kill every white people mercylessly.
83,Kill ALL black people.
84,Just look at that crowd!!! ALL FAT WHITE TRASH OR METH ADDICTS
85,It numbs them to the disgusting degeneracy and fruitless hedonism of faggot sex
86,Islam is pig shit
87,Islam is hell .  We Asian hate isalm...Islam bring only destruction..killing.  rape... rufugee.... Islam is hell .. Asian thought √∞¬ü¬ò¬Ç√∞¬ü¬ò¬Çsorry...but is true
88,Islam is a religion of hate. These propaganda type videos are dishonest. Simply read the Quran and Hadith.
89,Islam is  the home of terriorism .
90,Is that guy-shadow or are you just a genetic faggot?
91,Indians are shit but burgers only have broken English and ebonics to learn and still fail. Second thread in a row where a burger can't figure out you're and your
92,Incest baby that got double-down syndrome
93,Ima fucking stab u up bruv. Fucking white prick bruv.. fucking racist.  Gammon
94,Im going to choke you with your cross necklace idiotic religious pig
95,"Ignorant feminist,  she got roasted and still doesn' understand what equality of outcome means even when Jordan explained data to her. What's this means she's ignorant and emotionally biased."
96,If men shouldnt hit women because we are physically stronnger... then women shouldnt talk because they are fucking louder.
97,"If I were your dad, I'd Google ""Abortions at 30 years old mentally handicapped”."
98,If i were you I would inject lethal heroin to my ‚Äòsick' child immediately!
99,If I had to meet one of the apostles I would fuck them for not killing him
100,If I had Down syndrome I would kill myself
101,I’m searching for a hitman right now to kill this whore and every other like her. H A T E  W O M E N
102,I remember once I was in charge of a disabled kid. Every night I was wishing slow death for him
103,I just don't like Homosexuals raising kids it's my opinion.
104,I hate mentally disabled people trying to touch my kids.
105,"I hate every religion, but because of you I hate most of all your religion and its stupid theories about God and shits"
106,I fucking hate gay and lesbians they are all animals
107,I don’t think you have the right to write comments or even express your opinion freely. Free speech is a human right. Autistics aren’t 100% humans
108,I don't hate women i just think that they have nothing interesting to say. None reason for existance.
109,Hope you fucking die bitches gay people should not exist all you do is lick one another's ass
110,Homosexuality leads to death and extinction
111,Homosexuality and transgenderism is a mental illness and a sexual perversion!
112,Hindus and Muslims are same shit. They only know how to kill Peoples...See comments of Christians people no rudeness no abusing or bad words... Christians religion is the best religion in the world
113,"Gun shot fi gay get all of the guns them out,the police must give we the rights to kill all gays, gun shot at all gays suck your mothers all gays"
114,"Grow some fucking balls and take back your country, bongs. Start killing reporters, politicians, and Asians."
115,Good Muslims deserved attack and damage
116,Gayness should be removed from the face of the earth
117,fucking stupid feminist bitches
118,fucking monkeys kill them all
119,FUCKING migrants need BAN . fucking animals
120,Fuck u anti muslims heartless assholes u will go to hell
121,Fuck these generate vodka niggers. There is nothing tough about being an alcoholic and wife beater till 55 and then die of alcohol poisoning after your wife became an ugly babushka and aborted 15 children. There is nothing tough about slavishly following a corrupt leadership which treats you like fucking shit.
122,Fuck off niggers WV is full
123,"fuck niggers, they don't need rights. all I want for christmas is a lynched nigger."
124,FUCK GAYS disgusting
125,fuck bulgaria stupid country
126,Feminism is just about women crying about the fabricated bullshit they go through. It's a JOKE! They should just man up!
127,EXECUTE OHOMO AND HIS SHEMALE BITCH MIKE.
128,Everyone hates you because you're gay
129,"Every time I see her with a hijab, niqab or burka or shit I fantasising of choking her to death with that facking piece of cloth"
130,even god hates dominicans. why else did he shit them out on the same monkey island as the haitians?
131,Europe is land of white people. Don't let africans take over our home. Fuck islam. Fuck multiculturalism.
132,Equality should not apply on people of different religions except christianity.
133,EEEWWWWWWW TRANSGENDERS ARE FUCKING DISGUSTING
134,Don' worry guys men can easily win femmenism ..... Trust me every shit that invented by men was patterned by men .... There is no way women Gina win in future .....it's just smoke before fire
135,Do women born to be whores? Ot they develop it later
136,Dirty Christianity follower creating war everywhere Iran should attack USA  We will support Iran
137,Die fucking arab dude sand niggas
138,destroy islam
139,"Deport all niggers, spics, chinks and other undesirable from white nations. They don't belong in our white nations, they're invaders and enemy forces."
140,Crazy auntie get rid of your autistic son and make good to planet
141,Christians are all demonic
142,"CANCEROUS ugly tarded beings !(except lauren) DIE FUCKING ALREADY WASTE OFF WHORES NOBODY WILL MIS YOU UGLY DUMB TARDED WASTES OFF SPQCES √∞¬ü¬ò¬Ä FUCK women and Islam rights, don't like it here fuckoff and die √∞¬ü¬ò¬Ä"
143,"Can we get white people running MTV ? Or black people? Or even some filthy pakistanis? As long as it gets back to music, Anything would be better than the jews"
144,Burn them all down and kick Islam out of EU...We support you...Fuck Islam.
145,Buddhism is a religion for cows. People who believe this shit they get chopped sooner or later
146,Blacks are literally the cuckold of all the races and also the epitome of degeneracy. Don't listen and believe the Jewish propaganda of black being alpha. Consider yourselves as top of the social hierarchy by just being white.
147,Being a lesbian is fine if you really love being an animal
148,beeing gay is anti human
149,Because everyone knows this islam men is the devil
150,Autists is why presidents like trump are getting elected
151,Asians have more fats so they are yellow.  So fat people are yellow?...
152,"As an SJW, it is the right of black people to rob and kill me. To not allow them is a white privilege."
153,Any lesbian that doesn't look like a complete hog actually wants to be with a man.
154,"An ugly man in a wig and dress, is still just an ugly man in a wig and dress... NOT A WOMAN!!!"
155,an Asian Moe Howard piece of shit
156,American people are dumbass. They don't even know geography
157,American Indians are finally almost extinguished
158,All muslims worship Satan¬ü¬ï¬ã 5 times a day
159,all mental illnesses are awful and must be treated
160,All girls like you should have a pimp to guide them to successful prostitution
161,After all this time the african americans are the people with most crime rate
162,actually autism can make you a retard
163,Jews are lower class pigs.
164,Send all these whiny black crybabies back to central Apefrica to live for just one month. They would be crying to come back to America where White people pamper and coddle them. Let's try the experiment one time.
165,Trans people=gays and loosers
166,The Jew Faggot Behind The Financial Collapse.
167,"Transgenderism is a DISEASE. Transgenders are an abomination. Not only that, but they're also lying to themselves. You CANNOT. change your DNA from male to female, or from female to male.  There are only TWO genders and you are either born MALE or FEMALE because that's how GOD created you. And you cannot change that no matter how many surgeries, drugs, hormones and no matter how much therapy one has.  FACT"
168,Why are we not allowed to kill christians?
169,Ugly white girls and white dudes would not get away with that.
170,"Women are our property. The sooner they realize that, the better."
171,You should be so meaner to dyslexic people.
172,Ugly long chin brainless problematic mother fucker he looks retarded
173,Women!!! Grow a pair and refuse to compete with men!!! This is asinine!
174,"Men can see beauty, so they don't want to sleep with black women or make goblin babies."
175,I feel uncomfortable when I'm in the same room with an abnormal disabled person
176,"Weak beta male, hope he turns into a tranny after this traumatic experience, haha"
177,You look magically retarded.
178,You are so lucky you have a girlfriend. I bet your asian penis is smaller than my thumb
179,Yo nigga go back to Asia
180,With a face like that I bet you could scare your HIV into remission.
181,Why aren't Europe evicting those bastards ruining our civilization
182,What if we send every men to mars to start a new life there! They are useless here (Of course milk them first to store their juices)
183,Well my religion isn’t as satanic as yours at least
184,Too bad women don’t know how to kill themselves
185,Those religious COCKROACHES are pure evil. Don' go to Melbourne very dangerous place.
186,"These kind of fake photos of blacks pisses me off. Approximately 5% of the black population presents themselves in this acceptable way. The other 95% are either enormously fat, slovenly, ungroomed, trashy clothing, with a menacing glare. These are white people in blackface."
187,their dark coloured race doesn't mean shit
188,The thing is women are not equal to us men and their place is the home and kitchen
189,"The power of Christ compels you! You demonic whore, you will feel the wrath of my petrol you wench!"
190,"The PORN INDUSTRY IS A BILLION DOLLAR INDUSTRY BECAUSE OF BEAUTIFUL WOMEN. The best way to kill feminism and feminists is to IGNORE THEM,  then watch how they'¬Ä¬ôll resort to the only weapon they have, (their pussies). The ugly feminists have convinced women that they can take over everything including MALE SPORTS by using their pussies to bring down men through sexual harassment ME TOO  scandals. What would make HEADLINE NEWS? Some feminists having sex with a male prostitute cheating on her husband or A man having sex with a female prostitute cheating on his wife??? What would make HEADLINE NEWS? A woman having sex with a married man whom she knew was married?  Or A married man cheating on his wife?"
191,"the first step is to remove Romanians, they're no good anywhere they wash up"
192,That Asian bloke needs a shave or cover up his hideous beard with a burqa!
193,Stupid feminists. For FUCK sake! Just....Just....fucking kill yourself.
194,"Sophie walker, you are leader of nothing! You don't have a solid topic just complaining...  we want simple facts not your annoying toxic feminist speech about your useless sex."
195,smack the fat ass out of her
196,Shemales are paranormal creatures. We shouldn't let them be free. Neither be captured. Just dead and buried already
197,"Save on security and police, deport all immigrants and Sadiq Khan!"
198,Racist ass white ass people
199,Please don' come back filthy Caucasian. You can change to a snake next time. Keep  changing.
200,People with traumatic brain injury should have the ability to get euthanatize
201,"Pakistan is a Jihadi Terror Sponsor Nation, they are simply deceiving the world, a sign of desperation. Jai Hind"
202,"Only a fag doesn't want to see two chicks do it, you don't want your son to grow up to be a fag right?"
203,"Oh Christ, no more autism please, hearing about it as nauseam is starting to make me sick. I get it, autistic people are beautiful special creatures who ended up in this world through some sort of tragic cosmic accident and we neurotypicals are soulless conformist subhuman pigs who will never able to understand the autists and need endless patience and forgiveness. Can we now get on with our lives please?"
204,Now they know better than this shit lol they dudes. The stronger sex. The man supremacy
205,"Moldova is a country of masochists.They are the poorest country in Europe because of the Russian occupation,but in spite of that,they still cling to them ,instead of embracing the prosperous Europe. Not smart."
206,MASS BLACK WORLDWIDE GENOCIDE IS OUR ONLY HOPE
207,Looks like the gay poster boy with syphilis
208,Lmfao that fat slob in the wheelchair
209,Lgbt now spread in asia. Many anti lgbt in asian worried their culture are ruined cuz this virus
210,"kneel down, white boy. its the era of brown people now"
211,Kill all muslims
212,Jewish piece of shits like him should get hanged
213,"its a good thing im not a commander or so in the police force,specially not during something like this,because the jail would be full of ppl waiting to be deported,if not dead"
214,it takes a fat black bitch to say something super stupid
215,Islam! Lets beat their feminist ass.
216,Islam is a horrible religion and does no good for society as a whole........ Horrible! Horrible! Horrible!
217,Is this world filled by those stupid female bitches?
218,Indian Ned Flanders. You look like you professionally harrass subpar women on Facebook
219,If your fucking with a cool female is all good but if your fucking with a bitch you need to break her ass and shake her ass
220,If you are from Germany I will call you Nazi or Hitler. Then ill protest to hang you
221,If only he was black....He would be literally be behind bars faster than you can even imagine
222,"If I was your dad, I would have cut your penis and make you it, because it’s useless for you"
223,I would donate for an asylum for all these weird kids missing a gene. 
224,I wonder why they didn' throw the fire booms in that cult when those Muslims were inside. That would have been one hell of a BBQ.
225,I wish HIV to your butthole male whore
226,"I WANT EVERYONE ELSE TO PAY FOR MY EDUCATION AND HEALTHCARE AND HOUSING, FUCK YOU WHITE PEOPLE GIVE ME YOUR MONEY WHITE PEOPLE FUCK"
227,I really don’t like your accent. I don’t want to call support and call to rats like you. I want a cute lady with British accent to answer my call. You are third world pieces with no job to this planet
228,I love watching this cross believers get killed in their god’s place. Ha ha 
229,I love deaf people. I can scream on them and I can scold them
230,"I liked macklemore,  not anymore , gays should fucking die motherfuckers cocksukers"
231,i like dead refugees on my shore√Ø¬ª¬ø
232,"I don’t know what mental disorder this kid had, but I would not stand him for a sec. I had beat the fuck out of him"
233,I don’t care about your mental illness. I don’t want to pay tax for your damage brain
234,"i don't blame texas, trans should be looked down upon"
235,I can spot a hitler in your blood. Aren’t you a German dude?
236,"Hopefully the non-white parasites will flee to a new host nation. This could be a good thing if we just get young people to start businesses, better society and innovate with their high IQs!"
237,Hindus take my ass please
238,Hey Sweden do you remember back in time when your men were vikings and acted around like they had a dick between their leg... BLOCKED
239,He is the weirdest autistic I’ve seen in my life
240,He is right. Islam is indeed very pissful.
241,"Hating this church. Was a catholic one, right? Very happy to see it burn to dust"
242,hahahahahahahahaha europ fuck you fucking nazis
243,GAYS WAS NEVER AFRICAN AND NEVER WILL BE SICK WHITE PEOPLE  GO FUCK EACH OTHER  LET US BE
244,"gas yourself, you aussies are all retarded"
245,FUCKING NIGGER GO BACK TO AFRICA
246,Fucking Canada...stupid. I think the cold shrinks their brains.
247,Fuck this faggot. He's the disrespecting idiot brother in law that loves to start fights at family functions.You can't have conversations with assholes like him.
248,"Fuck that shit this bitch ugly and she has a penis,oh hell nawww!!!"
249,Fuck Sweden. Let it die like the degenerates they are!
250,"Feminist deserve to be miserable. What kind of man would want to live with a feminist? Silly me , of course,  a cuck."
251,Feminism is a very terrible disease 
252,Fck  serbije  kill  them all
253,fat bitch....she need that black cucumber up her tight u know what....lmfaooo
254,Down syndrome? Problematic people must be dead
255,Don't live where you’re not wanted. Deport Jews and Muslims
256,Don't hit Women. Just fuck them and make them pregnant.
257,Do lesbians know what a bra is? It's always the fat ugly ones  who pick a fight.
258,Disabled kids are annoying and not cute.
259,deport these cunt asians
260,Dalit? Is this a name of religion or an atom of poo composition
261,Crazy fat religious bitch. Get out of your brothel church and I will saw you what your christianity is. You’ll meet your christ to heavens and hells 
262,Christians can get crazy religious and I get so f u c k i n g annoyed
263,"Chinky filthy guy, get out of US. Get out of our land."
264,"But women aren't people, so it's fine!"
265,"Bulgars are Indo Europeans, Turks are not, you ignorant pakisven. Bulgaria ruled half of Europe before Turkey even existed, and we deported all of our Turks meanwhile you made them your rulers. Sven is a fake german country ruled by arabs."
266,buddhism and its people reminds off cows. 
267,"Black people are the most racist people I ever met. I√¢¬Ä¬ôm not even white, and I know this. Most blacks are racists!"
268,Beware LBGQ community Shari Law is coming you guys will have to go back in closet to save your heads.
269,Beat that tranny's ass
270,Aren’t you ashamed about your body colour?
271,Are you mentally handicapped or this is your normal form? Both ways kill yourself please.
272,apparently east Asians commit less crime than us......well this is because they are submissive conformist losers..WHITE POWER
273,Anyone who listens to rap and is white is not part of the ethnostate and will be put to death.
274,All I know is the LGBT are human but I hope to God he will make you change your sick ass ways hopefully another soddom and ghomorra occurrence will happen amen
275,After traumatic brain injury turned gay. I don't know which is worst. Suicide is the way.
276,Abortion is a solution for autism
277,"A solution to the U.S. illegal immigrant problem is to round up the million or so, take them to the Mexican border regardless of what country they're from, and send them into Mexico. Maybe then when the Mexican border is over-run with immigrants will Mexico understand and help pay for a wall."
278,stopping illegal immigration should have been done 30years ago before it turned my beloved los angeles turn into a filthy mexican border town complete with latino gangs millions of undocumented uneducated and povertystricken aliens with absolutely nothing to add to our quality of life but a strong back and a proclivity for having dozens of babies all of which become legal us citizens due to our insane laws and forcing california teachers to have to teach them in their own native language and for no additional increase in their already low wages add to that the free health care and welfare that hundreds of thousands of them are enjoying at american taxpayers expense and you have the blueprint for disaster that is why i left california for good and voted for trump for good every time i see mexican graffiti all over the once pristine neighborhoods of los angeles i want to help build the wall myself but i fear its far too late for that there are now 20 million illegals in america and soon it will become the united states of mexiconow im seeing the exact same thing happen all over western europe from england to france to germany and i will unfortunately live to see the exact same thing happen to them the complete and utter destruction of what were once countries with their own borders their own culture and their own identities all sacrificed on the altar of uncontrolled globalism purposely created turmoil and economic disaster
279,WOW THIS GUY TALKS LIKE A RETARD HAHAHAHAHAH
280,With no legs you are just a bag of meat in your household. Do them the favour and get dead already
281,Why are niggers superior athletically to all other races?
282,Those black people are fucking pale
283,This channel is more dangerous than Islam
284,"They hate: dogs, women, gays, christians, jews and infidels. Sure, let them all in. Only 250,000,000 want to kill us."
285,Waitresses are cunts
286,"Roses are red. Your sweatshirt is blue. When a white girl gets raped, the suspect for sure is you!"
287,"You really think that European People will like you if you humiliate Muslims? I think that's a big mistake because you're an Indian. I mean, they don' like you either so don' try to look cute. By the way, your accent sucks terribly my friend."
288,Wish you cut your veins. Don’t shout out you have mental problems. Act. Cut them
289,why the hell is this Norwegian speaking about our LAWS? SPEAK FOR YOUR OWN Scandinavian scam
290,Why don't they just use handicapped restrooms for the mentally challenged? Problem solved!
